PROJECT	proj_dbid	proj_gen_tech	proj_load_zone	proj_connect_cost_per_mw	proj_capacity_limit_mw	proj_variable_om
Oahu_CentralPV_377_na	.	CentralPV	Oahu	36491914.85	2.4951204	.
Oahu_CentralPV_378_na	.	CentralPV	Oahu	12297665.79	0.581900625	.
Oahu_CentralPV_379_na	.	CentralPV	Oahu	12060812.8	50.65032289	.
Oahu_CentralPV_37_na	.	CentralPV	Oahu	33825192.51	0.378	.
Oahu_CentralPV_380_na	.	CentralPV	Oahu	11899703.41	55.62788284	.
Oahu_CentralPV_381_na	.	CentralPV	Oahu	11820645.07	32.72996482	.
Oahu_CentralPV_382_na	.	CentralPV	Oahu	11824771.17	48.47685649	.
Oahu_CentralPV_383_na	.	CentralPV	Oahu	11910663.12	3.357338686	.
Oahu_CentralPV_384_na	.	CentralPV	Oahu	12642218.85	19.09789645	.
Oahu_CentralPV_385_na	.	CentralPV	Oahu	13025841.23	28.62129818	.
Oahu_CentralPV_386_na	.	CentralPV	Oahu	13470728.71	42.23671692	.
Oahu_CentralPV_387_na	.	CentralPV	Oahu	13976944.16	13.35013858	.
Oahu_CentralPV_388_na	.	CentralPV	Oahu	14527459.83	0.918100125	.
Oahu_CentralPV_389_na	.	CentralPV	Oahu	15129095.58	2.07068481	.
Oahu_CentralPV_38_na	.	CentralPV	Oahu	34988516.13	51.4283206	.
Oahu_CentralPV_390_na	.	CentralPV	Oahu	15763432.61	4.23852241	.
Oahu_CentralPV_391_na	.	CentralPV	Oahu	16440081.66	25.76088831	.
