PROJECT	proj_capacity_limit_mw
Oahu_CentralPV_343_na	78.18803431
Oahu_CentralPV_344_na	49.72237041
Oahu_CentralPV_345_na	73.2627813
Oahu_CentralPV_346_na	76.47907221
Oahu_CentralPV_347_na	37.80718988
Oahu_CentralPV_348_na	8.819299441
Oahu_CentralPV_349_na	47.69164471
Oahu_CentralPV_350_na	83.09759952
Oahu_CentralPV_351_na	27.42619493
Oahu_CentralPV_352_na	49.34714552
Oahu_CentralPV_353_na	71.31167903
Oahu_CentralPV_354_na	71.08152466
Oahu_CentralPV_355_na	27.25419634
Oahu_CentralPV_356_na	4.462778048
Oahu_CentralPV_357_na	63.85532868
Oahu_CentralPV_358_na	87.43744283
Oahu_CentralPV_359_na	36.85651695
Oahu_CentralPV_360_na	87.50500159
Oahu_CentralPV_361_na	86.24854286
Oahu_CentralPV_362_na	24.41066657
Oahu_CentralPV_363_na	31.96007824
Oahu_CentralPV_364_na	26.68967609
Oahu_CentralPV_365_na	16.60847538
Oahu_CentralPV_366_na	5.209374015
Oahu_CentralPV_367_na	32.20848485
Oahu_CentralPV_368_na	20.25106644
Oahu_CentralPV_369_na	5.226846885
Oahu_CentralPV_370_na	7.90605414
Oahu_CentralPV_371_na	0.032804505
Oahu_CentralPV_372_na	9.0681342
Oahu_CentralPV_373_na	27.86000399
Oahu_CentralPV_374_na	13.2228112
Oahu_CentralPV_375_na	20.18740943
Oahu_CentralPV_376_na	24.31094541
Oahu_CentralPV_377_na	2.4951204
Oahu_CentralPV_378_na	0.581900625
Oahu_CentralPV_379_na	50.65032289
Oahu_CentralPV_380_na	55.62788284
Oahu_CentralPV_381_na	32.72996482
Oahu_CentralPV_382_na	48.47685649
Oahu_CentralPV_383_na	3.357338686
Oahu_CentralPV_384_na	19.09789645
Oahu_CentralPV_385_na	28.62129818
Oahu_CentralPV_386_na	42.23671692
Oahu_CentralPV_387_na	13.35013858
Oahu_CentralPV_388_na	0.918100125
Oahu_CentralPV_389_na	2.07068481
Oahu_CentralPV_390_na	4.23852241
Oahu_CentralPV_391_na	25.76088831
Oahu_CentralPV_392_na	0.060241414
Oahu_CentralPV_393_na	23.99243923
Oahu_CentralPV_394_na	50.2498215
Oahu_CentralPV_395_na	44.07055637
Oahu_CentralPV_396_na	65.20291823
Oahu_CentralPV_397_na	49.36123195
Oahu_CentralPV_398_na	24.8089039
Oahu_CentralPV_399_na	25.5387686
Oahu_CentralPV_400_na	28.25228695
Oahu_CentralPV_401_na	23.32904202
Oahu_CentralPV_402_na	0.524952
Oahu_CentralPV_403_na	8.956787287
Oahu_CentralPV_404_na	12.62379483
Oahu_CentralPV_405_na	18.31884003
Oahu_CentralPV_406_na	0.029404845
Oahu_CentralPV_407_na	1.243833249
Oahu_CentralPV_408_na	12.271725
Oahu_CentralPV_409_na	4.25172708
Oahu_CentralPV_410_na	24.51890474
Oahu_CentralPV_411_na	29.14542942
Oahu_CentralPV_412_na	19.41133923
Oahu_CentralPV_413_na	17.08158618
Oahu_CentralPV_414_na	27.05647723
Oahu_CentralPV_415_na	9.349640619
Oahu_CentralPV_416_na	10.39314371
Oahu_CentralPV_417_na	5.837748989
Oahu_CentralPV_418_na	13.47980602
Oahu_CentralPV_419_na	6.273
Oahu_CentralPV_420_na	0.49975416
Oahu_CentralPV_421_na	45.02355561
