timepoint_label	lz_demand_mw_as_consumption	DumpPower	LZ_NetDispatch
2007-08-30-02:00	-721.289978027344	0.0	721.289978027344
2007-08-30-03:00	-725.679992675781	0.0	725.679992675781
2007-08-30-04:00	-779.280029296875	0.0	779.280029296875
2007-08-30-05:00	-907.309997558594	0.0	907.3099975585938
2007-08-30-06:00	-1010.57000732422	0.0	1010.5700073242199
2007-08-30-07:00	-1072.47998046875	0.0	1072.47998046875
2007-08-30-08:00	-1148.06005859375	0.0	1148.06005859375
2007-08-30-09:00	-1194.25	0.0	1194.25
2007-08-30-10:00	-1219.42004394531	0.0	1219.4200439453098
2007-08-30-11:00	-1230.30004882812	0.0	1230.3000488281198
2007-08-30-12:00	-1241.4599609375	0.0	1241.4599609374998
2007-08-30-13:00	-1239.72998046875	0.0	1239.7299804687498
2007-08-30-14:00	-1248.90002441406	0.0	1248.9000244140598
2007-08-30-15:00	-1241.9599609375	0.0	1241.9599609374998
2007-08-30-16:00	-1214.7099609375	0.0	1214.7099609374998
2007-08-30-17:00	-1200.39001464844	0.0	1200.3900146484398
2007-08-30-18:00	-1208.65002441406	0.0	1208.6500244140598
2007-08-30-19:00	-1215.91003417969	0.0	1215.9100341796898
2007-08-30-20:00	-1148.73999023438	0.0	1148.73999023438
2007-08-30-21:00	-1046.91003417969	0.0	1046.9100341796898
2007-08-30-22:00	-927.150024414062	0.0	927.1500244140618
2007-08-30-23:00	-828.169982910156	0.0	828.1699829101558
2007-09-03-00:00	-747.5	0.0	747.4999999999998
2007-09-03-01:00	-709.869995117188	0.0	709.869995117188
2007-09-03-02:00	-690.760009765625	0.0	690.760009765625
2007-09-03-03:00	-687.880004882812	0.0	687.880004882812
2007-09-03-04:00	-706.239990234375	0.0	706.2399902343748
2007-09-03-05:00	-747.710021972656	0.0	747.710021972656
2007-09-03-06:00	-797.97998046875	0.0	797.97998046875
2007-09-03-07:00	-890.940002441406	0.0	890.940002441406
2007-09-03-08:00	-984.469970703125	0.0	984.4699707031248
2007-09-03-09:00	-1046.86999511719	0.0	1046.8699951171898
2007-09-03-10:00	-1079.2900390625	0.0	1079.2900390625
2007-09-03-11:00	-1089.65002441406	0.0	1089.65002441406
2007-09-03-12:00	-1086.7900390625	0.0	1086.7900390624998
2007-09-03-13:00	-1091.81005859375	0.0	1091.81005859375
2007-09-03-14:00	-1093.48999023438	0.0	1093.48999023438
2007-09-03-15:00	-1102.56994628906	0.0	1102.56994628906
2007-09-03-16:00	-1112.97998046875	0.0	1112.9799804687498
2007-09-03-17:00	-1114.71997070312	0.0	1114.7199707031198
2007-09-03-18:00	-1143.85998535156	0.0	1143.85998535156
2007-09-03-19:00	-1157.05004882812	0.0	1157.05004882812
2007-09-03-20:00	-1100.5	0.0	1100.5
2007-09-03-21:00	-1012.67999267578	0.0	1012.6799926757799
2007-09-03-22:00	-901.570007324219	0.0	901.5700073242188
2007-09-03-23:00	-803.989990234375	0.0	803.989990234375
2007-09-07-00:00	-755.650024414062	0.0	755.650024414062
2007-09-07-01:00	-718.75	0.0	718.7499999999998
2007-09-07-02:00	-700.830017089844	0.0	700.830017089844
2007-09-07-03:00	-704.659973144531	0.0	704.6599731445308
2007-09-07-04:00	-758.929992675781	0.0	758.929992675781
2007-09-07-05:00	-877.419982910156	0.0	877.4199829101558
2007-09-07-06:00	-983.039978027344	0.0	983.0399780273438
2007-09-07-07:00	-1059.69995117188	0.0	1059.6999511718798
2007-09-07-08:00	-1130.35998535156	0.0	1130.3599853515598
2007-09-07-09:00	-1178.30004882812	0.0	1178.3000488281198
2007-09-07-10:00	-1207.14001464844	0.0	1207.1400146484398
2007-09-07-11:00	-1222.82995605469	0.0	1222.8299560546898
2007-09-07-12:00	-1233.56005859375	0.0	1233.5600585937498
2007-09-07-13:00	-1237.76000976562	0.0	1237.7600097656198
2007-09-07-14:00	-1246.47998046875	0.0	1246.4799804687498
2007-09-07-15:00	-1240.93994140625	0.0	1240.9399414062498
2007-09-07-16:00	-1214.90002441406	0.0	1214.9000244140598
2007-09-07-17:00	-1184.18994140625	0.0	1184.1899414062498
2007-09-07-18:00	-1201.53002929688	0.0	1201.5300292968798
2007-09-07-19:00	-1169.76000976562	0.0	1169.7600097656198
2007-09-07-20:00	-1115.44995117188	0.0	1115.44995117188
2007-09-07-21:00	-1040.61999511719	0.0	1040.6199951171898
2007-09-07-22:00	-946.909973144531	0.0	946.9099731445308
2007-09-07-23:00	-853.489990234375	0.0	853.4899902343748
2007-10-13-00:00	-753.590026855469	0.0	753.590026855469
2007-10-13-01:00	-719.119995117188	0.0	719.119995117188
2007-10-13-02:00	-699.27001953125	0.0	699.27001953125
2007-10-13-03:00	-694.489990234375	0.0	694.489990234375
2007-10-13-04:00	-716.25	0.0	716.25
2007-10-13-05:00	-767.97998046875	0.0	767.97998046875
2007-10-13-06:00	-840.200012207031	0.0	840.2000122070308
2007-10-13-07:00	-935.710021972656	0.0	935.710021972656
2007-10-13-08:00	-1019.14001464844	0.0	1019.1400146484398
2007-10-13-09:00	-1069.68994140625	0.0	1069.6899414062498
2007-10-13-10:00	-1097.07995605469	0.0	1097.0799560546898
2007-10-13-11:00	-1094.41003417969	0.0	1094.41003417969
2007-10-13-12:00	-1090.11999511719	0.0	1090.11999511719
2007-10-13-13:00	-1079.10998535156	0.0	1079.10998535156
2007-10-13-14:00	-1069.57995605469	0.0	1069.57995605469
2007-10-13-15:00	-1069.98999023438	0.0	1069.98999023438
2007-10-13-16:00	-1067.85998535156	0.0	1067.8599853515598
2007-10-13-17:00	-1073.18994140625	0.0	1073.18994140625
2007-10-13-18:00	-1127.93994140625	0.0	1127.9399414062498
2007-10-13-19:00	-1083.69995117188	0.0	1083.69995117188
2007-10-13-20:00	-1038.94995117188	0.0	1038.9499511718798
2007-10-13-21:00	-976.219970703125	0.0	976.219970703125
2007-10-13-22:00	-898.419982910156	0.0	898.419982910156
2007-10-13-23:00	-809.299987792969	0.0	809.2999877929688
